Feature\Product;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;
SQLITE_OMIT_FOREIGN_KEY;-;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;
SQLITE_OMIT_LOAD_EXTENSION;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
SQLITE_OMIT_OR_OPTIMIZATION;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
SQLITE_OMIT_PAGER_PRAGMAS;-;X;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;
SQLITE_OMIT_PRAGMA;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;
SQLITE_OMIT_SHARED_CACHE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OMIT_SUBQUERY;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;
SQLITE_OMIT_TRACE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OMIT_TRIGGER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OMIT_VACUUM;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;X;X;X;X;X;X;
SQLITE_OMIT_VIEW;-;-;-;-;-;-;-;-;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
SQLITE_OMIT_VIRTUALTABLE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OMIT_WAL;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OS_OTHER;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OS_UNIX;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OS_WIN;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
SQLITE_OS_WINCE;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;
